Book,Author,Achievement,Active Dates,Source,Link,Cover,Season
Ex Libris: Confessions of a Common Reader,Anne Fadiman,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/46890,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1435782351i/46890.jpg,Fall 2025
"84, Charing Cross Road",Helene Hanff,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/52850170,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1715247624i/52850170.jpg,Fall 2025
The Story of More: How We Got to Climate Change and Whe…,Hope Jahren,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/49960370,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1574331253i/49960370.jpg,Fall 2025
When We Cease to Understand the World,Benjamín Labatut,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/53972214,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1596817309i/53972214.jpg,Fall 2025
"Thinning Blood: A Memoir of Family, Myth, and Identity",Leah Myers,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/62586002,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1676788318i/62586002.jpg,Fall 2025
Bite,Bite: Nourishments and Jamborees,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/195853505,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1702057655i/195853505.jpg,Fall 2025
You Get What You Pay For: Essays,Morgan  Parker,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/157056100,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1698688825i/157056100.jpg,Fall 2025
Firstborn: A Memoir,Lauren  Christensen,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/214986210,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1731527800i/214986210.jpg,Fall 2025
The Message,Ta-Nehisi Coates,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/210943364,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1717094243i/210943364.jpg,Fall 2025
Stand in My Window: Meditations on Home and How We Make…,LaTonya Yvette,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/203708989,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1717521082i/203708989.jpg,Fall 2025
